-0.09,0.17,0,"  	0.01",-0.02,"  	-0.18",-0.17,-0.18,0.16,0.15,0.16,"  	-0.00",0,0,25.25
-0.1,0.17,0,"  	0.00",0.01,"  	-0.18",-0.18,-0.18,0.13,0.13,0.13,"  	-0.00",0,0,25.25
-0.11,0.17,0,"  	0.00",0,"  	-0.19",-0.19,-0.19,-0.03,-0.03,-0.03,"  	-0.00",0,0,25.25
-0.13,0.14,0,"  	0.00",0,"  	-0.32",-0.31,-0.32,-0.34,-0.32,-0.34,"  	-0.00",0,0,25.25
-0.15,0.14,0,"  	0.01",-0.01,"  	-0.37",-0.37,-0.37,-0.06,-0.07,-0.06,"  	-0.00",0,0,25.25
-0.16,0.14,0,"  	0.00",0.01,"  	-0.16",-0.16,-0.16,0.07,0.07,0.07,"  	-0.00",0,0,25.25
-0.17,0.13,0,"  	-0.00",0.01,"  	-0.28",-0.28,-0.28,-0.1,-0.09,-0.1,"  	-0.00",0,0,25.25
-0.19,0.12,0,"  	-0.00",0,"  	-0.28",-0.28,-0.28,-0.11,-0.11,-0.11,"  	-0.00",0,0,25.25
-0.19,0.1,0,"  	-0.00",0,"  	-0.14",-0.15,-0.14,-0.12,-0.12,-0.12,"  	-0.00",0,0,25.25
-0.19,0.06,0.01,"  	0.00",-0.01,"  	-0.02",-0.02,-0.02,-0.61,-0.59,-0.61,"  	-0.00",0,0,25.25
-0.19,0.06,0.01,"  	-0.00",0,"  	-0.10",-0.1,-0.1,-0.02,-0.02,-0.02,"  	-0.00",0,0,25.25
-0.19,0.07,0.01,"  	0.00",-0.01,"  	-0.13",-0.13,-0.13,0.2,0.2,0.2,"  	-0.00",0,0,25.25
-0.19,0.06,0.01,"  	-0.00",0.02,"  	-0.05",-0.05,-0.05,-0.07,-0.07,-0.07,"  	-0.00",0,0,25.25
-0.19,0.05,0.01,"  	0.00",-0.01,"  	-0.08",-0.08,-0.08,-0.23,-0.23,-0.23,"  	-0.00",0,0,25.25
-0.19,0.05,0.01,"  	0.00",0,"  	-0.03",-0.03,-0.03,0.06,0.06,0.06,"  	-0.00",0,0,25.25
-0.19,0.06,0.01,"  	-0.00",0.01,"  	-0.13",-0.13,-0.13,0.25,0.25,0.25,"  	-0.00",0,0,25.25
-0.19,0.08,0.01,"  	0.00",-0.01,"  	-0.10",-0.1,-0.1,0.27,0.27,0.27,"  	-0.00",0,0,25.25
-0.19,0.09,0.01,"  	-0.00",0.01,"  	-0.17",-0.17,-0.17,0.22,0.22,0.22,"  	-0.00",0,0,25.25
-0.19,0.1,0.01,"  	-0.00",0,"  	-0.16",-0.16,-0.16,0.16,0.16,0.16,"  	-0.00",0,0,25.25
-0.22,0.08,0.01,"  	-0.00",0,"  	-0.41",-0.41,-0.41,-0.17,-0.17,-0.17,"  	-0.00",0,0,25.25
-0.23,0.1,0,"  	-0.00",0,"  	-0.35",-0.35,-0.35,0.27,0.27,0.27,"  	-0.00",0,0,25.25
-0.26,0.11,-0.01,"  	0.00",-0.01,"  	-0.48",-0.47,-0.48,0.23,0.23,0.23,"  	-0.00",0,0,25.25
-0.28,0.13,-0.01,"  	-0.00",0.02,"  	-0.47",-0.47,-0.47,0.2,0.2,0.2,"  	-0.00",0,0,25.25
-0.31,0.13,-0.01,"  	-0.01",0,"  	-0.53",-0.52,-0.53,0.22,0.22,0.22,"  	-0.01",0,0,25.25
-0.34,0.15,-0.01,"  	0.00",0,"  	-0.54",-0.54,-0.54,0.19,0.19,0.19,"  	-0.01",0,0,25.25
-0.37,0.15,0,"  	0.00",-0.02,"  	-0.65",-0.65,-0.65,0.15,0.15,0.15,"  	-0.01",0,0,25.25
-0.39,0.16,0.01,"  	0.00",0,"  	-0.49",-0.5,-0.49,0.19,0.19,0.19,"  	-0.01",0,0,25.25
-0.41,0.16,0.02,"  	-0.00",0.01,"  	-0.40",-0.41,-0.4,0.1,0.1,0.1,"  	-0.01",0,0,25.25
-0.47,0.18,0.02,"  	0.00",0,"  	-0.67",-0.66,-0.67,0.25,0.25,0.25,"  	-0.01",0,0,25.25
-0.52,0.16,0.02,"  	0.00",0,"  	-0.93",-0.91,-0.93,-0.14,-0.12,-0.14,"  	-0.01",0,0,25.25
-0.55,0.16,0.02,"  	0.00",0,"  	-0.95",-0.95,-0.95,-0.18,-0.18,-0.18,"  	-0.01",0,0,25.25
-0.59,0.16,0.02,"  	-0.00",0.01,"  	-0.77",-0.78,-0.77,0.13,0.11,0.13,"  	-0.01",0,0,25.25
-0.63,0.16,0.02,"  	0.00",-0.01,"  	-0.70",-0.71,-0.7,0.03,0.04,0.03,"  	-0.01",0,0,25.25
-0.67,0.16,0.02,"  	0.01",-0.01,"  	-0.92",-0.92,-0.92,0.13,0.13,0.13,"  	-0.01",0,0,25.25
-0.72,0.15,0.03,"  	-0.01",0.02,"  	-1.05",-1.04,-1.04,-0.05,-0.04,-0.05,"  	-0.01",0,0,25.25
-0.78,0.15,0.04,"  	0.01",-0.03,"  	-1.05",-1.05,-1.05,-0.07,-0.07,-0.07,"  	-0.01",0,0,25.25
-0.85,0.14,0.06,"  	-0.00",0.03,"  	-1.18",-1.17,-1.18,0.12,0.11,0.12,"  	-0.01",0,0,25.25
-0.93,0.11,0.07,"  	-0.01",0,"  	-1.31",-1.3,-1.3,-0.15,-0.14,-0.15,"  	-0.01",0,0,25.25
-1.02,0.08,0.08,"  	0.00",-0.02,"  	-1.77",-1.77,-1.77,-0.39,-0.39,-0.39,"  	-0.02",0,0,25.26
-1.12,0.06,0.08,"  	-0.00",0.01,"  	-1.91",-1.91,-1.91,-0.23,-0.24,-0.23,"  	-0.02",0,0,25.26
-1.22,0.03,0.08,"  	0.00",0,"  	-1.92",-1.92,-1.92,-0.22,-0.22,-0.22,"  	-0.02",0,0,25.26
