Orientation Sensor Test

0.20,-5.80,-0.41,-0.00,  	-0.04,-0.03,  	-1.92,-1.82,-1.92,-0.66,-0.62,-0.66,  	-0.10,-0.04,0.00,25.26
0.19,-5.81,-0.41,0.00,  	-0.02,0.01,  	-1.96,-1.96,-1.96,-0.74,-0.73,-0.74,  	-0.10,-0.04,0.00,25.26
0.17,-5.83,-0.41,0.00,  	-0.01,0.00,  	-1.95,-1.95,-1.95,-0.70,-0.70,-0.70,  	-0.10,-0.04,0.00,25.26
0.17,-5.83,-0.42,0.00,  	-0.02,-0.01,  	-1.92,-1.93,-1.92,-0.89,-0.88,-0.89,  	-0.10,-0.04,0.00,25.26
0.17,-5.83,-0.41,0.00,  	-0.04,-0.00,  	-1.80,-1.80,-1.80,-0.66,-0.66,-0.66,  	-0.10,-0.04,0.00,25.26
0.17,-5.83,-0.41,0.00,  	-0.03,0.00,  	-1.89,-1.88,-1.89,-0.64,-0.65,-0.64,  	-0.10,-0.04,0.00,25.26
0.21,-5.79,-0.39,0.01,  	0.01,0.00,  	-1.40,-1.40,-1.40,-0.50,-0.50,-0.50,  	-0.10,-0.04,0.00,25.26
0.27,-5.73,-0.35,0.03,  	-0.00,-0.01,  	-0.86,-0.89,-0.86,-0.22,-0.24,-0.22,  	-0.10,-0.04,0.00,25.25
0.29,-5.71,-0.35,0.03,  	-0.00,-0.00,  	-1.37,-1.38,-1.37,-0.81,-0.80,-0.81,  	-0.10,-0.04,0.00,25.26
0.36,-5.64,-0.36,0.03,  	0.01,0.01,  	-1.15,-1.16,-1.15,-0.89,-0.89,-0.89,  	-0.10,-0.04,0.00,25.26
0.41,-5.64,-0.39,0.01,  	0.01,0.00,  	-1.14,-1.14,-1.14,-0.90,-0.90,-0.90,  	-0.10,-0.04,0.00,25.26
0.43,-5.59,-0.41,-0.00,  	0.00,-0.01,  	-1.13,-1.13,-1.13,-1.17,-1.15,-1.17,  	-0.10,-0.04,0.00,25.26
0.46,-5.57,-0.41,0.01,  	-0.01,-0.01,  	-1.50,-1.48,-1.50,-1.00,-1.00,-1.00,  	-0.10,-0.04,0.00,25.26
