Orientation Sensor Test

0.36,-0.20,0.00,  	-0.02,-0.02,  	-0.07,-0.06,-0.07,-0.11,-0.10,-0.11,  	0.01,-0.00,0.00,25.25
0.34,-0.21,0.00,  	-0.02,-0.01,  	-0.13,-0.13,-0.13,-0.19,-0.19,-0.19,  	0.01,-0.00,0.00,25.25
0.32,-0.21,-0.01,  	-0.00,0.02,  	-0.16,-0.15,-0.16,-0.30,-0.29,-0.30,  	0.01,-0.00,0.00,25.25
0.31,-0.22,-0.01,  	-0.00,0.00,  	-0.16,-0.16,-0.16,-0.33,-0.33,-0.33,  	0.01,-0.00,0.00,25.25
0.29,-0.22,-0.01,  	-0.01,-0.00,  	-0.12,-0.12,-0.12,-0.08,-0.09,-0.08,  	0.01,-0.00,0.00,25.25
0.28,-0.22,-0.01,  	-0.02,-0.01,  	0.03,0.03,0.03,-0.00,-0.01,-0.00,  	0.00,-0.00,0.00,25.25
0.28,-0.22,-0.01,  	-0.01,0.01,  	-0.01,-0.00,-0.01,0.06,0.06,0.06,  	0.00,-0.00,0.00,25.25
0.27,-0.22,-0.01,  	0.00,0.01,  	0.00,0.00,0.00,-0.13,-0.12,-0.13,  	0.00,-0.00,0.00,25.25
0.27,-0.22,-0.01,  	0.00,0.00,  	0.03,0.03,0.03,-0.13,-0.13,-0.13,  	0.00,-0.00,0.00,25.25
0.27,-0.22,-0.01,  	-0.00,-0.01,  	-0.12,-0.11,-0.12,0.01,0.01,0.01,  	0.00,-0.00,0.00,25.25
0.26,-0.21,-0.01,  	0.00,0.01,  	0.04,0.03,0.04,-0.36,-0.34,-0.36,  	0.00,-0.00,0.00,25.25
0.26,-0.23,0.00,  	0.01,0.00,  	0.05,0.05,0.05,-0.41,-0.41,-0.41,  	0.00,-0.00,0.00,25.25
0.26,-0.23,0.00,  	-0.01,-0.01,  	0.05,0.05,0.05,-0.15,-0.15,-0.15,  	0.00,-0.00,0.00,25.25
0.26,-0.24,0.00,  	-0.01,-0.00,  	0.09,0.09,0.09,-0.16,-0.16,-0.16,  	0.00,-0.00,0.00,25.25
0.24,-0.24,0.00,  	0.01,0.01,  	-0.12,-0.11,-0.12,-0.01,-0.02,-0.01,  	0.00,-0.00,0.00,25.25
0.24,-0.22,0.00,  	-0.01,-0.00,  	-0.05,-0.05,-0.05,0.20,0.20,0.20,  	0.00,-0.00,0.00,25.25
0.24,-0.20,0.00,  	0.00,0.01,  	0.11,0.11,0.11,0.28,0.28,0.28,  	0.00,-0.00,0.00,25.25
0.24,-0.20,0.00,  	-0.01,-0.01,  	-0.00,-0.00,-0.00,-0.19,-0.18,-0.19,  	0.00,-0.00,0.00,25.25
0.22,-0.20,0.00,  	0.00,0.01,  	-0.13,-0.13,-0.13,-0.14,-0.14,-0.14,  	0.00,-0.00,0.00,25.25
0.22,-0.20,0.00,  	-0.00,-0.01,  	-0.07,-0.07,-0.07,-0.12,-0.12,-0.12,  	0.00,-0.00,0.00,25.25
0.20,-0.21,0.00,  	0.00,0.01,  	-0.21,-0.21,-0.21,-0.16,-0.16,-0.16,  	0.00,-0.00,0.00,25.25
0.19,-0.22,0.00,  	0.00,-0.00,  	-0.07,-0.07,-0.07,-0.27,-0.27,-0.27,  	0.00,-0.00,0.00,25.25
0.17,-0.24,-0.01,  	-0.00,-0.01,  	-0.16,-0.16,-0.16,-0.20,-0.20,-0.20,  	0.00,-0.00,0.00,25.25
0.15,-0.26,-0.01,  	-0.00,0.00,  	-0.20,-0.20,-0.20,-0.44,-0.44,-0.44,  	0.00,-0.00,0.00,25.25
0.15,-0.26,-0.01,  	0.00,0.00,  	-0.05,-0.05,-0.05,-0.08,-0.08,-0.08,  	0.00,-0.00,0.00,25.25
0.15,-0.26,0.00,  	-0.00,-0.00,  	0.15,0.14,0.15,-0.14,-0.13,-0.14,  	0.00,-0.00,0.00,25.25
0.15,-0.27,0.01,  	0.00,0.00,  	-0.04,-0.04,-0.04,-0.21,-0.21,-0.21,  	0.00,-0.00,0.00,25.25
0.16,-0.26,0.01,  	-0.01,-0.01,  	0.21,0.21,0.21,0.01,0.00,0.01,  	0.00,-0.00,0.00,25.25
