Orientation Sensor Test

0.12,-5.88,0.08,-0.00,  	0.01,-0.02,  	-2.15,-2.05,-2.15,-1.13,-1.07,-1.13,  	-0.10,-0.05,0.00,25.27
0.10,-5.90,0.07,-0.00,  	0.00,0.00,  	-2.17,-2.17,-2.17,-1.10,-1.10,-1.10,  	-0.10,-0.05,0.00,25.27
0.09,-5.91,0.05,-0.00,  	0.00,-0.00,  	-1.98,-1.98,-1.98,-1.15,-1.15,-1.15,  	-0.10,-0.05,0.00,25.27
0.06,-5.94,0.04,-0.00,  	0.00,-0.00,  	-2.36,-2.36,-2.36,-1.04,-1.05,-1.04,  	-0.10,-0.05,0.00,25.27
0.03,-5.97,0.03,-0.00,  	0.00,-0.00,  	-2.24,-2.25,-2.24,-1.18,-1.17,-1.18,  	-0.10,-0.05,0.00,25.27
-0.02,-6.02,-0.01,-0.00,  	0.00,0.02,  	-2.67,-2.66,-2.66,-1.41,-1.41,-1.41,  	-0.11,-0.05,0.00,25.28
-0.04,-6.04,-0.01,0.01,  	0.00,0.00,  	-2.20,-2.20,-2.19,-1.00,-1.00,-1.00,  	-0.11,-0.05,0.00,25.27
-0.05,-6.05,0.01,0.03,  	-0.00,-0.00,  	-2.01,-2.02,-2.01,-0.79,-0.79,-0.79,  	-0.11,-0.05,0.00,25.27
-0.10,-6.10,-0.01,0.02,  	0.00,-0.00,  	-2.69,-2.68,-2.68,-1.29,-1.29,-1.29,  	-0.11,-0.05,0.00,25.28
-0.15,-6.15,-0.05,0.01,  	-0.00,-0.01,  	-2.67,-2.67,-2.67,-1.49,-1.49,-1.49,  	-0.11,-0.05,0.00,25.28
-0.17,-6.17,-0.10,0.01,  	0.00,0.00,  	-2.33,-2.33,-2.32,-1.73,-1.73,-1.73,  	-0.11,-0.05,0.00,25.28
-0.22,-6.22,-0.17,0.00,  	-0.00,-0.01,  	-2.62,-2.62,-2.62,-2.11,-2.11,-2.10,  	-0.11,-0.06,0.00,25.29
-0.27,-6.27,-0.22,-0.01,  	0.00,0.01,  	-2.77,-2.77,-2.76,-1.63,-1.64,-1.63,  	-0.11,-0.06,0.00,25.29
-0.32,-6.32,-0.25,-0.01,  	0.00,0.00,  	-2.77,-2.77,-2.76,-1.54,-1.54,-1.54,  	-0.11,-0.06,0.00,25.29
-0.37,-6.37,-0.27,0.01,  	0.00,-0.00,  	-2.74,-2.74,-2.73,-1.30,-1.30,-1.30,  	-0.11,-0.06,0.00,25.28
-0.41,-6.41,-0.30,0.04,  	-0.00,0.01,  	-2.54,-2.54,-2.54,-1.49,-1.49,-1.49,  	-0.11,-0.06,0.00,25.28
-0.45,-6.45,-0.31,0.06,  	-0.00,-0.00,  	-2.70,-2.70,-2.70,-1.27,-1.27,-1.27,  	-0.11,-0.06,0.00,25.28
-0.50,-6.50,-0.33,0.06,  	-0.00,-0.00,  	-2.82,-2.82,-2.82,-1.25,-1.25,-1.25,  	-0.11,-0.06,0.00,25.28
