Orientation Sensor Test

-0.27,-6.27,0.06,-0.00,  	0.00,-0.01,  	-1.75,-1.66,-1.75,-1.21,-1.14,-1.20,  	-0.11,-0.05,0.00,25.26
-0.24,-6.24,0.03,0.01,  	-0.00,0.00,  	-1.59,-1.59,-1.59,-1.36,-1.36,-1.36,  	-0.11,-0.05,0.00,25.26
-0.20,-6.20,0.03,0.01,  	0.00,-0.00,  	-1.45,-1.45,-1.45,-1.01,-1.02,-1.01,  	-0.11,-0.05,0.00,25.26
-0.17,-6.17,0.02,0.01,  	0.00,-0.00,  	-1.46,-1.46,-1.46,-1.14,-1.14,-1.14,  	-0.11,-0.05,0.00,25.26
-0.13,-6.13,0.02,0.01,  	0.00,0.00,  	-1.37,-1.38,-1.37,-1.04,-1.04,-1.03,  	-0.11,-0.05,0.00,25.26
-0.09,-6.09,0.01,0.01,  	0.00,0.00,  	-1.35,-1.35,-1.35,-1.05,-1.05,-1.05,  	-0.11,-0.05,0.00,25.26
-0.03,-6.03,0.04,0.01,  	-0.00,0.00,  	-0.98,-0.99,-0.98,-0.53,-0.53,-0.53,  	-0.11,-0.05,0.00,25.25
0.07,-5.93,0.08,0.04,  	0.00,-0.00,  	-0.38,-0.38,-0.38,-0.42,-0.42,-0.42,  	-0.10,-0.05,0.00,25.25
0.15,-5.85,0.08,0.04,  	0.00,0.00,  	-0.76,-0.76,-0.76,-0.98,-0.98,-0.98,  	-0.10,-0.05,0.00,25.25
0.23,-5.77,0.06,0.04,  	0.00,0.00,  	-0.63,-0.64,-0.63,-1.16,-1.15,-1.16,  	-0.10,-0.05,0.00,25.25
0.33,-5.67,0.03,0.04,  	-0.00,0.01,  	-0.28,-0.30,-0.28,-1.39,-1.38,-1.39,  	-0.10,-0.05,0.00,25.26
0.42,-5.58,-0.01,0.04,  	-0.00,-0.00,  	-0.48,-0.48,-0.48,-1.60,-1.60,-1.60,  	-0.10,-0.05,0.00,25.26
0.47,-5.53,-0.05,0.03,  	-0.00,-0.00,  	-1.01,-1.00,-1.01,-1.52,-1.52,-1.52,  	-0.10,-0.05,0.00,25.26
0.51,-5.49,-0.05,0.04,  	0.00,0.00,  	-1.16,-1.16,-1.16,-0.98,-0.98,-0.98,  	-0.10,-0.05,0.00,25.26
0.55,-5.45,-0.02,0.06,  	-0.00,-0.01,  	-1.03,-1.04,-1.03,-0.58,-0.60,-0.58,  	-0.10,-0.05,0.00,25.25
0.61,-5.39,0.02,0.06,  	0.00,-0.00,  	-0.97,-0.97,-0.97,-0.28,-0.29,-0.28,  	-0.09,-0.05,0.00,25.25
0.66,-5.34,0.03,0.08,  	-0.00,0.00,  	-0.93,-0.94,-0.93,-0.79,-0.79,-0.79,  	-0.09,-0.05,0.00,25.25
0.70,-5.34,0.04,0.09,  	0.00,-0.01,  	-1.08,-1.07,-1.08,-0.82,-0.82,-0.82,  	-0.09,-0.05,0.00,25.25
0.74,-5.30,0.05,0.09,  	0.00,-0.00,  	-1.00,-1.01,-1.00,-0.83,-0.83,-0.83,  	-0.09,-0.05,0.00,25.25
0.81,-5.19,0.08,0.09,  	-0.00,0.01,  	-0.70,-0.71,-0.70,-0.57,-0.58,-0.57,  	-0.09,-0.05,0.00,25.25
0.87,-5.13,0.08,0.09,  	0.00,-0.01,  	-0.67,-0.67,-0.67,-0.94,-0.92,-0.94,  	-0.09,-0.05,0.00,25.25
0.92,-5.08,0.07,0.09,  	-0.00,0.00,  	-0.88,-0.88,-0.88,-1.02,-1.02,-1.02,  	-0.09,-0.05,0.00,25.25
0.96,-5.04,0.03,0.09,  	-0.00,-0.00,  	-1.09,-1.08,-1.09,-1.43,-1.40,-1.42,  	-0.09,-0.05,0.00,25.26
0.98,-5.02,0.01,0.09,  	-0.00,-0.00,  	-1.26,-1.25,-1.26,-1.29,-1.30,-1.29,  	-0.09,-0.05,0.00,25.26
0.98,-5.02,0.01,0.09,  	0.00,-0.00,  	-1.52,-1.50,-1.52,-1.07,-1.08,-1.07,  	-0.09,-0.05,0.00,25.26
0.98,-5.02,-0.01,0.10,  	-0.00,0.00,  	-1.51,-1.51,-1.51,-1.08,-1.07,-1.07,  	-0.09,-0.05,0.00,25.26
